"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 08 17:52:49 CEST 2023","Thu Jun 08 17:52:52 CEST 2023","3507","","Verify Global Career Search","","","","verify career search by keyword and country",""
"passed","Thu Jun 08 17:52:49 CEST 2023","Thu Jun 08 17:52:53 CEST 2023","4213","","Verify Global Career Search","","","","Verify career search by category and country",""
